city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
1853371,Ryōtsu-minato,JP,38.08,138.43,10/26/20,            55.4,82,40,10.29
3924679,Vilhena,BR,-12.74,-60.15,10/26/20,            78.8,69,0,5.82
3461425,Ilhabela,BR,-23.78,-45.36,10/26/20,            72,85,34,11.45
1067565,Beloha,MG,-25.17,45.05,10/26/20,            64.92,91,0,4.16
1485634,Yuzhnoural'sk,RU,54.44,61.25,10/26/20,            26.94,96,100,33.02
2513947,Melilla,ES,35.29,-2.94,10/26/20,            59.36,63,20,9.17
4018380,Apozol,MX,21.48,-103.1,10/26/20,            80.15,32,39,6.93
513898,Otradnoye,RU,59.78,30.82,10/26/20,            48.06,87,75,6.71
568595,Chernyakhovsk,RU,54.63,21.82,10/26/20,            52.81,89,58,11.99
915471,Kalabo,ZM,-14.97,22.68,10/26/20,            77.13,26,57,4.72
3440777,Rocha,UY,-34.48,-54.33,10/26/20,            55,62,100,11.25
3840092,Puerto Madryn,AR,-42.77,-65.04,10/26/20,            68.2,30,100,10.47
2157698,Mildura,AU,-34.2,142.15,10/26/20,            56.16,87,90,9.17
1859964,Kaseda-shirakame,JP,31.42,130.32,10/26/20,            55.4,93,40,5.82
1731248,Alugan,PH,12.22,125.48,10/26/20,            82.74,77,100,5.37
1263384,Mataundh,IN,25.45,80.15,10/26/20,            71.49,30,0,1.7
551047,Kerchevskiy,RU,59.95,56.29,10/26/20,            20.75,96,1,7.58
3082704,Wałcz,PL,53.28,16.47,10/26/20,            50,95,98,9.4
2134814,Sola,VU,-13.88,167.55,10/26/20,            79.99,82,97,20.71
1529651,Altay,CN,47.87,88.12,10/26/20,            31.35,77,0,3.91
2537881,Safi,MA,32.3,-9.24,10/26/20,            63.99,75,0,18.1
60019,Eyl,SO,7.98,49.82,10/26/20,            77.58,75,92,6.51
140463,Birjand,IR,32.87,59.22,10/26/20,            41,20,0,4.7
3897334,Calbuco,CL,-41.77,-73.13,10/26/20,            46.4,93,90,6.93
609919,Quryq,KZ,43.2,51.65,10/26/20,            48.33,60,4,10.33
2653989,Aberfoyle,GB,56.18,-4.38,10/26/20,            47.53,87,20,8.05
1737185,Kapit,MY,2.02,112.93,10/26/20,            75.33,91,100,1.43
515267,Omutninsk,RU,58.67,52.19,10/26/20,            25.81,94,52,5.55
6096551,Pangnirtung,CA,66.15,-65.71,10/26/20,            8.01,84,46,8.19
1850523,Tateyama,JP,34.98,139.87,10/26/20,            63.07,68,75,13.87
5296802,Green Valley,US,31.85,-110.99,10/26/20,            59.67,9,20,16.11
